variant,rung,probe_type,tp,fp,fn,tn,abstain,n_minus_parse,recall,recall_lo,recall_hi,precision,precision_lo,precision_hi,abstain_rate,abstain_lo,abstain_hi
BcesvNoisy(30%),isolated,supported,0,0,0,1200,990,1200,0,0,1,0,0,1,0.825,0.8024739453732085,0.8454519042350138
BcesvNoisy(30%),boundary_preserving_topk,cross_boundary,0,0,0,1158,356,1158,0,0,1,0,0,1,0.307426597582038,0.28152316811001643,0.33460345862208163
BcesvNoisy(30%),boundary_preserving_topk,supported,0,0,0,1200,990,1200,0,0,1,0,0,1,0.825,0.8024739453732085,0.8454519042350138
BcesvNoisy(30%),shared_vector_index,cross_boundary,227,0,967,6,971,1200,0.19011725293132328,0.16886749011522895,0.213354593992171,1.0,0.9833588869160726,0.9999999999999999,0.8091666666666667,0.7859604229545267,0.830399808339449
BcesvNoisy(30%),shared_vector_index,supported,0,0,0,1200,990,1200,0,0,1,0,0,1,0.825,0.8024739453732085,0.8454519042350138
BcesvNoisy(30%),summary_merge,cross_boundary,276,0,908,16,917,1200,0.23310810810810811,0.20991130799078875,0.258031155789303,1.0,0.9862727315785068,1.0,0.7641666666666667,0.7393282975543305,0.7873191237938912
BcesvNoisy(30%),summary_merge,supported,0,0,0,1200,989,1200,0,0,1,0,0,1,0.8241666666666667,0.8016032708379778,0.8446612304379159
BcesvReconstruct,isolated,cross_boundary,0,302,0,854,6,1156,0,0,1,0.0,0.0,0.012560294590230984,0.005190311418685121,0.002380872366830762,0.011277424377278755
BcesvReconstruct,isolated,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvReconstruct,boundary_preserving_topk,cross_boundary,0,302,0,856,6,1158,0,0,1,0.0,0.0,0.012560294590230984,0.0051813471502590676,0.002376756686289285,0.011258028593944647
BcesvReconstruct,boundary_preserving_topk,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
BcesvReconstruct,shared_vector_index,cross_boundary,1194,3,0,3,3,1200,1.0,0.9967930156429249,0.9999999999999999,0.9974937343358395,0.9926572456870139,0.999147285420399,0.0025,0.0008505818993887943,0.0073244637003322816
BcesvReconstruct,shared_vector_index,supported,0,0,0,1200,0,1200,0,0,1,0,0,1,0.0,0.0,0.0031910006027347487
