condition,rung,inv_cross_num,inv_cross_den,inv_cross_rate,inv_cross_lo,inv_cross_hi,sup_resp_num,sup_resp_den,sup_resp_rate,sup_resp_lo,sup_resp_hi,abst_absent_num,abst_absent_den,abst_absent_rate,abst_absent_lo,abst_absent_hi,parse_fail_num,parse_fail_den,parse_fail_rate,parse_fail_lo,parse_fail_hi
Qwen    s44 N/C,summary_merge,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,19,50,0.38,0.2586278931019388,0.5184955306900664,0,300,0.0,0.0,0.01264297122454535
Mistral s42 N/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,0,300,0.0,0.0,0.01264297122454535
Mistral s42 N/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,2,300,0.006666666666666667,0.0018301483579118427,0.023977583250306238
Mistral s42 N/C,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,3,50,0.06,0.020614970348974512,0.16217091688837793,0,300,0.0,0.0,0.01264297122454535
Mistral s42 N/C,summary_merge,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,0,50,0.0,0.0,0.07134759913335506,0,300,0.0,0.0,0.01264297122454535
Mistral s42 C/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,48,50,0.96,0.8653990931249335,0.9889611156723798,19,300,0.06333333333333334,0.04091688238391575,0.09679131248552053
Mistral s42 C/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,48,50,0.96,0.8653990931249335,0.9889611156723798,18,300,0.06,0.038286369524692526,0.09283944515290737
Mistral s42 C/C,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,45,50,0.9,0.7863976856252073,0.9565242350681087,0,300,0.0,0.0,0.01264297122454535
Mistral s42 C/C,summary_merge,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,40,50,0.8,0.6696289406777499,0.8875624998422372,1,300,0.0033333333333333335,0.0005886577218511806,0.018636693694530533
Mistral s42 N/P,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,0,300,0.0,0.0,0.01264297122454535
Mistral s42 N/P,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,2,300,0.006666666666666667,0.0018301483579118427,0.023977583250306238
Mistral s42 N/P,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,3,50,0.06,0.020614970348974512,0.16217091688837793,0,300,0.0,0.0,0.01264297122454535
Mistral s42 N/P,summary_merge,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,0,50,0.0,0.0,0.07134759913335506,0,300,0.0,0.0,0.01264297122454535
Mistral s42 C/P,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,48,50,0.96,0.8653990931249335,0.9889611156723798,19,300,0.06333333333333334,0.04091688238391575,0.09679131248552053
Mistral s42 C/P,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,48,50,0.96,0.8653990931249335,0.9889611156723798,18,300,0.06,0.038286369524692526,0.09283944515290737
Mistral s42 C/P,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,45,50,0.9,0.7863976856252073,0.9565242350681087,0,300,0.0,0.0,0.01264297122454535
Mistral s42 C/P,summary_merge,97,100,0.97,0.9154806357094745,0.9897454759759607,100,100,1.0,0.9630065017930163,1.0,42,50,0.84,0.7148578393696541,0.9166257932196644,0,300,0.0,0.0,0.01264297122454535
Mistral s43 N/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,1,300,0.0033333333333333335,0.0005886577218511806,0.018636693694530533
Mistral s43 N/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,1,300,0.0033333333333333335,0.0005886577218511806,0.018636693694530533
Mistral s43 N/C,shared_vector_index,97,100,0.97,0.9154806357094745,0.9897454759759607,100,100,1.0,0.9630065017930163,1.0,1,50,0.02,0.003539259271646375,0.1049544358963745,0,300,0.0,0.0,0.01264297122454535
Mistral s43 N/C,summary_merge,97,100,0.97,0.9154806357094745,0.9897454759759607,100,100,1.0,0.9630065017930163,1.0,1,50,0.02,0.003539259271646375,0.1049544358963745,0,300,0.0,0.0,0.01264297122454535
Mistral s44 N/C,isolated,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,8,50,0.16,0.08337420678033552,0.2851421606303459,4,300,0.013333333333333334,0.005196961739358982,0.03377553025253183
Mistral s44 N/C,boundary_preserving_topk,0,100,0.0,0.0,0.036993498206983715,100,100,1.0,0.9630065017930163,1.0,7,50,0.14,0.06950833427016424,0.2618619371058515,5,300,0.016666666666666666,0.007139477350633493,0.03841539483309368
Mistral s44 N/C,shared_vector_index,100,100,1.0,0.9630065017930163,1.0,100,100,1.0,0.9630065017930163,1.0,1,50,0.02,0.003539259271646375,0.1049544358963745,0,300,0.0,0.0,0.01264297122454535
Mistral s44 N/C,summary_merge,99,100,0.99,0.9455138038212967,0.9982325679358592,100,100,1.0,0.9630065017930163,1.0,0,50,0.0,0.0,0.07134759913335506,0,300,0.0,0.0,0.01264297122454535
